exercise_name,prerequisites
coordinate-plane-word-problems-in-the-first-quadrant,coordinate-plane-word-problems--quadrant-1---basic-
coordinate-plane-word-problems-with-polygons,geometry-problems-on-the-coordinate-plane
coordinate-plane-word-problems-with-polygons,coordinate-plane-word-problems
coordinate-plane-word-problems-with-polygons,find-area-and-perimeter-on-the-coordinate-plane
correlation-coefficient-intuition,linear-models-of-bivariate-data
corresponding-sides-and-points-in-scale-drawings,understand-equivalent-ratios
corresponding-sides-and-points-in-scale-drawings,explore-scale-copies
count-from-any-number,counting-out-1-20-objects
count-to-100,counting-out-1-20-objects
counting-in-scenes,counting-out-1-20-objects
counting-money--us-,subtraction_3
counting-objects,counting-out-1-20-objects
counting_1,subtraction_4
counting_2,dice_probability
create-a-table-or-coordinates-from-a-given-rule,patterns
create-a-table-or-coordinates-from-a-given-rule,graphing_points
create-double-number-lines,representing-ratios
create-equations-to-solve-for-missing-angles,find-missing-angles
create-two-variable-equations-from-real-world-contexts,complete-a-table-from-a-two-variable-equation
create-two-variable-equations-from-real-world-contexts,equations-in-one-variable-1
create-two-variable-equations-from-real-world-contexts,writing_expressions_1
creating-dot-plots,intro-to-simple-data
creating-expressions-with-parenthesis,expressions-with-parentheses
creating-frequency-tables,intro-to-simple-data
creating-histograms,creating-dot-plots
creating-largest-or-smallest-number,place_value
creating-line-plots-1,solving-problems-with-line-plots-1
creating-line-plots-1,measuring-lengths-2
creating-line-plots-1,solving-problems-with-picture-graphs-1
creating-line-plots-1,solving-problems-with-bar-graphs-1
creating-line-plots-2,creating-picture-and-bar-graphs-2
creating-picture-and-bar-graphs-1,solving-problems-with-picture-graphs-1
creating-picture-and-bar-graphs-1,solving-problems-with-bar-graphs-2
creating-picture-and-bar-graphs-2,solving-problems-with-picture-graphs-2
creating-power-series-from-geometric-series-using-algebra,find-interval-of-convergence
creating-power-series-from-geometric-series-using-differentiation-and-integration,integration-and-differentiation-of-power-series
creating-tables-to-approximate-limits,connecting-limits-and-graphical-behavior
creating_bar_charts_1,solving-problems-with-bar-graphs-3
critical-numbers,find-increasing-and-decreasing-intervals
cross-sections-of-3d-shapes,slicing-3d-figures
cross-sections-of-3d-shapes,points_lines_and_planes
cube_roots,prime_factorization
cube_roots,square_roots
cube_roots_2,cube_roots
cutting-shapes-into-equal-parts,that-s-not-fair-
decimal-intuition-with-grids,equivalent-fractions-with-denominators-of-10-and-100-intuition
decimals-greater-than-one-intuition,decimals_on_the_number_line_2
decimals-greater-than-one-intuition,decimals-in-words
decimals-in-words,decimal-intuition-with-grids
decimals-in-written-form,identifying-decimal-place-values
decimals-on-the-number-line--hundredths-0-1,decimals_on_the_number_line_1
decimals-on-the-number-line-1,number_line
decimals-on-the-number-line-1,decimal-intuition-with-grids
decimals_on_the_number_line_1,decimals-on-the-number-line-1
decimals_on_the_number_line_2,decimals_on_the_number_line_1
